RC Engine Sound Simulator Debug Log
----------------------------------
[DBG] Time(ms), RPM, ThrIn, FadThr500, TgtRPM, EngIdleVol%, FullThrVol%, ThrottleMapOut%, BaseIdleScaler%, BaseRevScaler%, RevSwitch, IdleEnd, IdleVolProp%, ThrMapOutRev%, a1Multi%, IdleVol, RevVol
[DBG] 1748589879278, 3, 0.00, 0.0, 800, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0.0, 0.0, 90.0, 0.000, 0.000
[DBG] 1748589879330, 3, 0.00, 0.0, 800, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0.0, 0.0, 90.0, 0.000, 0.000
[DBG] 1748589879385, 3, 0.00, 0.0, 800, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0.0, 0.0, 90.0, 0.000, 0.000
[DBG] 1748589879440, 3, 0.00, 0.0, 800, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0.0, 0.0, 90.0, 0.000, 0.000
[DBG] 1748589879494, 3, 0.00, 0.0, 800, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0.0, 0.0, 90.0, 0.000, 0.000
[DBG] 1748589879550, 3, 0.00, 0.0, 800, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0.0, 0.0, 90.0, 0.000, 0.000
[DBG] 1748589879603, 3, 0.00, 0.0, 800, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0.0, 0.0, 90.0, 0.000, 0.000
[DBG] 1748589879654, 3, 0.00, 0.0, 800, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0.0, 0.0, 90.0, 0.000, 0.000
[DBG] 1748589879709, 3, 0.00, 0.0, 800, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0.0, 0.0, 90.0, 0.000, 0.000
[DBG] 1748589879760, 3, 0.00, 0.0, 800, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0.0, 0.0, 90.0, 0.000, 0.000
[DEBUG] Debug printer thread stopping.
